Gene stable ID,Gene stable ID version,Gene type
ENSG00000005175,ENSG00000005175.10,protein_coding
ENSG00000176387,ENSG00000176387.7,protein_coding
ENSG00000172578,ENSG00000172578.12,protein_coding
ENSG00000178209,ENSG00000178209.15,protein_coding
ENSG00000151655,ENSG00000151655.19,protein_coding
ENSG00000169347,ENSG00000169347.16,protein_coding
ENSG00000049130,ENSG00000049130.16,protein_coding
ENSG00000114796,ENSG00000114796.16,protein_coding
ENSG00000188038,ENSG00000188038.8,protein_coding
ENSG00000275290,ENSG00000275290.4,protein_coding
ENSG00000262418,ENSG00000262418.5,protein_coding
ENSG00000198822,ENSG00000198822.10,protein_coding
ENSG00000065518,ENSG00000065518.8,protein_coding
ENSG00000181754,ENSG00000181754.7,protein_coding
ENSG00000153029,ENSG00000153029.14,protein_coding
ENSG00000122008,ENSG00000122008.15,protein_coding
ENSG00000137674,ENSG00000137674.4,protein_coding
ENSG00000277443,ENSG00000277443.3,protein_coding
ENSG00000140829,ENSG00000140829.12,protein_coding
ENSG00000197265,ENSG00000197265.9,protein_coding
ENSG00000198393,ENSG00000198393.8,protein_coding
ENSG00000113924,ENSG00000113924.12,protein_coding
ENSG00000139318,ENSG00000139318.8,protein_coding
ENSG00000129295,ENSG00000129295.9,protein_coding
ENSG00000230143,ENSG00000230143.9,protein_coding
ENSG00000156097,ENSG00000156097.12,protein_coding
ENSG00000253457,ENSG00000253457.2,protein_coding
ENSG00000163872,ENSG00000163872.16,protein_coding
ENSG00000009790,ENSG00000009790.15,protein_coding
ENSG00000198040,ENSG00000198040.10,protein_coding
ENSG00000136487,ENSG00000136487.18,protein_coding
ENSG00000091527,ENSG00000091527.15,protein_coding
ENSG00000198467,ENSG00000198467.15,protein_coding
ENSG00000089692,ENSG00000089692.9,protein_coding
ENSG00000165071,ENSG00000165071.14,protein_coding
ENSG00000116183,ENSG00000116183.11,protein_coding
ENSG00000115488,ENSG00000115488.3,protein_coding
ENSG00000168427,ENSG00000168427.9,protein_coding
